Date,MWh
12/23/2012,17423.03
12/23/2012,17104.36
12/23/2012,16677.32
12/23/2012,15919.85
12/23/2012,14781.35
12/23/2012,13459.29
12/24/2012,12591.25
12/24/2012,12236.39
12/24/2012,12168.59
12/24/2012,12094.27
12/24/2012,12554.24
12/24/2012,12996.2
12/24/2012,13299.56
12/24/2012,14236.62
12/24/2012,15073.23
12/24/2012,15553.3
12/24/2012,15710.84
12/24/2012,15636.36
12/24/2012,15382.1
12/24/2012,15187.56
12/24/2012,15350.31
12/24/2012,15342.66
12/24/2012,16451.43
12/24/2012,17211.4
12/24/2012,16527.11
12/24/2012,15853.24
12/24/2012,15413.24
12/24/2012,15019.5
12/24/2012,14366.38
12/24/2012,13440.98
12/25/2012,12436.77
12/25/2012,11708.74
12/25/2012,11304.84
12/25/2012,11379.5
12/25/2012,11467.68
12/25/2012,11607.48
12/25/2012,12244.04
12/25/2012,13100.93
12/25/2012,14105.26
12/25/2012,14831.29
12/25/2012,15145.46
12/25/2012,15275.57
12/25/2012,15143.45
12/25/2012,14779.38
12/25/2012,14361.77
12/25/2012,14184.64
12/25/2012,14921.48
12/25/2012,15649.82
12/25/2012,15648.37
12/25/2012,15585.12
12/25/2012,15439.65
12/25/2012,14976.37
12/25/2012,14054.68
12/25/2012,12994.48
12/26/2012,12186.88
12/26/2012,11996.81
12/26/2012,12071.29
12/26/2012,12116.05
12/26/2012,12438.01
12/26/2012,12891.11
12/26/2012,14165.76
12/26/2012,15291.62
12/26/2012,16061.16
12/26/2012,16519.33
12/26/2012,16761.6
12/26/2012,16829.1
12/26/2012,16755.01
12/26/2012,16722.03
12/26/2012,16650.02
12/26/2012,16868.5
12/26/2012,18098.19
12/26/2012,18879.67
12/26/2012,18690.29
12/26/2012,18205.62
12/26/2012,17540.43
12/26/2012,16500.78
12/26/2012,15118.59
12/26/2012,13728.75
12/27/2012,13349.6
12/27/2012,12996.97
12/27/2012,12852.3
12/27/2012,12760.84
12/27/2012,12952.55
12/27/2012,13358.65
